branch_id,label,age,parent_id,depth,center_lat,center_lon,radius,distribution,region_id,color,sample_ids_json,map_origin_id
Y4569,Y4569,1260,,0,41.6177,103.602,18,中国东北西北部、外兴安岭以南,中国东北西北部、外兴安岭以南,#cc4839,"[""row-9"",""HHT1001"",""HHT1002"",""HHT1003"",""HHT1004"",""HHT1005"",""HHT1006"",""HHT1007"",""HHT1008"",""节点"",""HHT1009"",""HHT1010"",""HHT1011"",""HHT1012"",""HHT1013"",""HHT1014"",""HHT1015"",""HHT1016"",""HHT1017"",""HHT1018"",""HHT1019"",""HHT1020"",""HHT1021"",""HHT1022"",""HHT1023"",""HHT1024"",""HHT1025"",""HHT1026"",""HHT1027"",""HHT1028"",""HHT1029"",""HHT1030"",""HHT1031"",""HHT1032"",""HHT1033"",""HHT1034"",""HHT1035""]",
Y185715,Y185715,1180,Y4569,1,40.2933,119.074,4.722,中国东北中部,中国东北中部,#7c2221,"[""HHT1002"",""HHT1003"",""HHT1004""]",
MF247416,MF247416,1100,Y185715,2,39.5376,116.8939,2,中国东北中部,中国东北中部,#410d19,"[""HHT1003"",""HHT1004""]",
Y4541,Y4541,1040,Y4569,1,41.8012,101.6916,18,蒙古国东北部,蒙古国东北部,#ece48f,"[""HHT1005"",""HHT1006"",""HHT1007"",""HHT1008"",""节点"",""HHT1009"",""HHT1010"",""HHT1011"",""HHT1012"",""HHT1013"",""HHT1014"",""HHT1015"",""HHT1016"",""HHT1017"",""HHT1018"",""HHT1019"",""HHT1020"",""HHT1021"",""HHT1022"",""HHT1023"",""HHT1024"",""HHT1025"",""HHT1026"",""HHT1027"",""HHT1028"",""HHT1029"",""HHT1030"",""HHT1031"",""HHT1032"",""HHT1033"",""HHT1034"",""HHT1035""]",
Y104500,Y104500,720,Y4541,2,36.0611,103.8343,2,蒙古国东北部,蒙古国东北部,#4aa485,"[""HHT1005""]",
BY182928,BY182928,570,Y4541,2,42.467,59.6,2,蒙古国东北部,蒙古国东北部,#8f6831,"[""HHT1006"",""HHT1007""]",
Y12782,Y12782,1040,Y4541,2,42.1307,101.327,18,蒙古国东北部,蒙古国东北部,#e6f8b8,"[""HHT1008"",""节点"",""HHT1009"",""HHT1010"",""HHT1011"",""HHT1012"",""HHT1013"",""HHT1014"",""HHT1015""]",
MF317986,MF317986,1000,Y12782,3,42.2107,98.5947,18,蒙古国东北部,蒙古国东北部,#ccdb8f,"[""节点"",""HHT1009"",""HHT1010"",""HHT1011"",""HHT1012"",""HHT1013"",""HHT1014"",""HHT1015""]",
MV154461,MV154461,960,MF317986,4,44.0862,117.8315,7.241,蒙古国东北部,蒙古国东北部,#dfb94e,"[""HHT1009"",""HHT1010""]",
Y20798,Y20798,50,MF317986,4,38.5909,108.8461,2,"中国,内蒙古,鄂尔多斯","中国,内蒙古,鄂尔多斯",#a8be40,"[""HHT1011"",""HHT1012""]",
Y20085,Y20085,720,MF317986,4,43.3736,78.9359,8.693,哈萨克斯坦东部-新疆西部,哈萨克斯坦东部-新疆西部,#6b8150,"[""HHT1013"",""HHT1014"",""HHT1015""]",
Y20087,Y20087,570,Y20085,5,43.4776,81.1055,6.52,哈萨克斯坦东部-新疆西部,哈萨克斯坦东部-新疆西部,#5b8267,"[""HHT1014"",""HHT1015""]",
MF193836,MF193836,760,Y4541,2,37.4928,102.1384,2.409,河西走廊,河西走廊,#e9d6b1,"[""HHT1019"",""HHT1020""]",
ZQ32,ZQ32,730,Y4541,2,42.1862,86.4732,9.631,哈萨克斯坦东部-新疆西部,哈萨克斯坦东部-新疆西部,#e0804d,"[""HHT1021"",""HHT1022"",""HHT1023""]",
FGC16605,FGC16605,920,Y4541,2,41.6447,116.0975,5.499,内蒙古东南部,内蒙古东南部,#f8d7ce,"[""HHT1024"",""HHT1025"",""HHT1026""]",
FGC16593,FGC16593,760,FGC16605,3,41.042,113.8128,3.757,内蒙古东南部,内蒙古东南部,#bcdb8f,"[""HHT1025"",""HHT1026""]",
FGC29011,FGC29011,920,Y4541,2,42.361,118.1683,6.685,内蒙古东南部,内蒙古东南部,#5aa3c6,"[""HHT1027"",""HHT1028"",""HHT1029"",""HHT1030"",""HHT1031""]",
FGC29003,FGC29003,760,FGC29011,3,42.9752,118.6085,7.336,内蒙古东南部,内蒙古东南部,#387ea2,"[""HHT1028"",""HHT1029"",""HHT1030"",""HHT1031""]",
MF274950,MF274950,680,FGC29003,4,41.5438,115.3437,3.703,内蒙古东南部,内蒙古东南部,#225688,"[""HHT1030"",""HHT1031""]",
Y125520,Y125520,920,Y4541,2,44.6385,93.1809,18,阿富汗-巴基斯坦,阿富汗-巴基斯坦,#d8cbdc,"[""HHT1032"",""HHT1033"",""HHT1034"",""HHT1035""]",
ZQ1049,ZQ1049,840,Y125520,3,34.5553,69.2075,2,阿富汗-巴基斯坦,阿富汗-巴基斯坦,#9a92bb,"[""HHT1033"",""HHT1034"",""HHT1035""]",
SK1076,SK1076,760,ZQ1049,4,34.5553,69.2075,2,阿富汗-巴基斯坦,阿富汗-巴基斯坦,#564e77,"[""HHT1034"",""HHT1035""]",
