sample_id,source_row,original_id,macro_group,haplogroup,tmrca,terminal_branch,surname,ethnicity,location,lat,lon,family,tribe,distribution,sample_age,is_ancient,branch_segments_json
row-9,9,,,C-Y4569以下已做完,0,,,,,,,,,,0,false,[]
HHT1001,10,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569,1260,MF386232,包,蒙古族,"中国,北京",39.9042,116.4074,,蒙兀室韦,中国东北西北部、外兴安岭以南,0,false,[]
HHT1002,11,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y185715,1180,MV115074,关,满族,"中国,辽宁,沈阳",41.8047,123.434,,蒙兀室韦,中国东北中部,0,false,"[""Y185715""]"
HHT1003,12,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y185715-MF247416,1100,MF247448,关,满族,"中国,北京",39.9042,116.4074,,蒙兀室韦,中国东北中部,0,false,"[""Y185715"",""MF247416""]"
HHT1004,13,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y185715-MF247416,1100,MF468514,李,汉族,"中国,天津",39.1333,117.1833,,蒙兀室韦,中国东北中部,0,false,"[""Y185715"",""MF247416""]"
HHT1005,14,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y104500,720,MF166889,张,汉族,"中国,甘肃,兰州",36.0611,103.8343,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541"",""Y104500""]"
HHT1006,15,Karakalpak-1,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-BY182928,570,TBD,TBD,Karakalpaks,"Uzbekistan,Karakalpak",42.467,59.6,忙忽惕/曼格特部,Karakalpak,蒙古国东北部,0,false,"[""Y4541"",""BY182928""]"
HHT1007,16,Karakalpak-6,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-BY182928,570,TBD,TBD,Karakalpaks,"Uzbekistan,Karakalpak",42.467,59.6,忙忽惕/曼格特部,Karakalpak,蒙古国东北部,0,false,"[""Y4541"",""BY182928""]"
HHT1008,17,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782,1040,MF237388,项,蒙古族,"中国,辽宁,朝阳",41.571,120.453,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541"",""Y12782""]"
节点,18,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782-MF317986,1000,,,,,,,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541"",""Y12782"",""MF317986""]"
HHT1009,19,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782-MF317986-MV154461,960,MF319306,何,汉族,"中国,黑龙江,齐齐哈尔",47.3549,123.9182,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541"",""Y12782"",""MF317986"",""MV154461""]"
HHT1010,20,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782-MF317986-MV154461,960,MV154463,云,蒙古族,"中国,内蒙古,呼和浩特",40.8175,111.7448,,尼伦蒙古,蒙古国东北部,0,false,"[""Y4541"",""Y12782"",""MF317986"",""MV154461""]"
HHT1011,21,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782-MF317986-Y20798,50,MFY1502,哈,蒙古族,"中国,内蒙古,鄂尔多斯,乌审旗",38.5909,108.8461,,尼伦蒙古,"中国,内蒙古,鄂尔多斯",0,false,"[""Y4541"",""Y12782"",""MF317986"",""Y20798""]"
HHT1012,22,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782-MF317986-Y20798,50,MV115071,窑,蒙古族,"中国,内蒙古,鄂尔多斯,乌审旗",38.5909,108.8461,,尼伦蒙古,"中国,内蒙古,鄂尔多斯",0,false,"[""Y4541"",""Y12782"",""MF317986"",""Y20798""]"
HHT1013,23,Kazakh-8,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782-MF317986-Y20085,720,FTB51412,TBD,哈萨克人,"Kazakhstan,Zhambyl",42.9,71.37,Sary-uysyn,哈萨克,哈萨克斯坦东部-新疆西部,0,false,"[""Y4541"",""Y12782"",""MF317986"",""Y20085""]"
HHT1014,24,,C2a1a3-M504,C2a1a3-M504-Y4519-Y4574-Y11121-F3796-Y11098-ZQ380-FGC16589-Y4580-Y4633-FGC16519-Y8818-Y4569-Y4541-Y12782-MF317986-Y20085-Y20087,570,MF394789,安,汉族,"中国,新疆,乌鲁木齐",43.7894,87.6144,,尼伦蒙古,哈萨克斯坦东部-新疆西部,0,false,"[""Y4541"",""Y12782"",""MF317986"",""Y20085"",""Y20087""]"
