branch_id,map_age,tribe_label,tribe_lat,tribe_lon,id_lat,id_lon,ellipse_lon,ellipse_lat,ellipse_rx,ellipse_ry,ellipse_rotation,map_fill,map_opacity,map_stroke,direct_label,hide_on_map,map_origin_id
Y4569,1260,蒙兀,53.27,123,51.77,123,123,52.55,8.8,5.4,6,#ff6d3f,0.82,,true,false,
Y4541,1100,尼伦蒙古,49.42,120.93,47.92,120.93,120.4,48.6,15.5,8.5,-8,#ff9d95,0.62,,true,false,
Y12782,800,蒙古各部,47.69,102.75,46.19,102.75,110.8,45.1,26.8,11.8,-6,#f8efba,0.52,,true,false,
ZQ32,600,克烈,51.44,75.06,49.94,75.06,75.06,50.7,10.8,4.4,-2,#b8ea63,0.86,"rgba(43, 57, 115, 0.95)",true,false,
Y20085,600,Sary-uysyn,42.7,75.02,44.2,75.02,76.3,42.15,10,4.9,-10,#72c1ee,0.86,"rgba(43, 57, 115, 0.95)",true,false,
Y20087,700,杜拉特,41.59,75.8,40.09,75.8,76.3,42.15,10,4.9,-10,#72c1ee,0.86,"rgba(43, 57, 115, 0.95)",true,false,
BY182928,500,忙忽惕,42.41,59.13,40.91,59.13,59.13,41.6,4.8,3,-6,#e9d85d,0.86,"rgba(43, 57, 115, 0.95)",true,false,
SK1076,600,哈扎拉,34.8,67.95,33.3,67.95,67.95,34.05,5.2,3.1,8,#d66f7b,0.88,"rgba(43, 57, 115, 0.95)",true,false,
MF317986,,,,,,,,,,,,,,,false,true,
MV154461,,,,,,,,,,,,,,,false,true,
Y20798,,,,,,,,,,,,,,,false,true,
