指标名称,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
个体就业人员—个体就业人数(万人),165.9,207.8,271.7,314.8,303.4,304.5,324.4,303.7,316.2,,,,,,
个体就业人员—个体户数(万户),85.2,96.7,109.9,122.2,130.2,134.2,140.3,146.7,157.3,,,,,,
个体就业人员—乡村个体就业人数(万人),28.6,49.4,55,50.7,55.2,53.8,45.8,76.9,110.2,,,,,,
个体就业人员—城镇就业人数(万人),137.3,158.3,216.7,264.1,248.2,250.6,278.6,226.8,206.1,,,,,,
人口—GDP全国排名,,,,,,,,,,22,21,21,21,21,
人口—人均GDP(元),,,,,,,,,,85422,89880,99128,104317,110011,
人口—人均GDP全国排名,,,,,,,,,,9,9,8,8,8,
人口—出生率(‰),,,,,,,,,,6.04,5.45,4.6,4.3,4.1,
人口—常住人口(万人),,,,,,,2528.6,,2539.6,2405,2400,2401.2,2396,2392,
人口—新能源装机(万千瓦),,,,,,,,,,5000,5700,6700,8600,10500,
人口—死亡率(‰),,,,,,,,,,6.57,6.8,7.3,7.6,7.8,
人口—煤炭产量(亿吨),,,,,,,,,,10.01,10.38,11.16,11.83,12.2,
人口—算力服务器(万台),,,,,,,,,,70,100,150,200,260,
人口—自然增长率(‰),,,,,,,,,,-0.53,-1.35,-2.7,-3.3,-3.7,
传统产业天花板数据—制造业就业(万人),,,,,,30.1,30.8,31.5,32.2,32.8,33.5,37.5,38.7,39.6,
传统产业天花板数据—制造业就业增速(%),,,,,,1.8,2.3,2.3,2.2,1.9,2.1,11.9,3.2,2.3,
传统产业天花板数据—煤炭产量(亿吨),,,,,,8.38,8.79,9.26,10.14,10.01,10.38,11.16,11.83,12.2,
传统产业天花板数据—煤炭吨均价(元/吨),,,,,,420,570,630,550,580,680,850,780,720,
传统产业天花板数据—电力运维工资(万元),,,,,,9.8,10.2,10.8,11.2,11.5,12.1,12.91,13.87,14.69,
传统产业天花板数据—电力运维工资增速(%),,,,,,3.5,4.1,5.9,3.7,2.7,5.2,6.7,7.4,5.9,
传统产业天花板数据—资源税(亿元),,,,,,185.3,210.5,248.6,295.4,320.8,385.12,619.95,672.03,571.49,
传统产业天花板数据—资源税增速(%),,,,,,8.2,13.6,18.1,18.8,8.6,20,61,8.4,-15,
传统产业天花板数据—采矿业人均工资(万元),,,,,,9.8,10.5,11.3,12.5,13.2,14.26,15.84,19.63,21.5,
传统产业天花板数据—采矿业工资增速(%),,,,,,5.2,7.1,7.6,10.6,5.6,8,11.1,23.9,9.5,
出口商品结构—其他产品(亿元),,,,,,,,,,,882661,1102800,1326600,1437600,
出口商品结构—其他产品占比(%),,,,,,,,,,,12,12,12,12,
出口商品结构—农畜产品(亿元),,,,,,,,,,,514886,643300,776600,838600,
出口商品结构—农畜产品占比(%),,,,,,,,,,,7,7,7,7,
出口商品结构—出口总额(亿元),,,,,,,,,,,7355505,9190000,11080000,11980000,
出口商品结构—化工产品(亿元),,,,,,,,,,,882661,1102800,1329600,1437600,
出口商品结构—化工产品占比(%),,,,,,,,,,,12,12,12,12,
出口商品结构—机电产品(亿元),,,,,,,,,,,1471101,1929900,2438600,2755400,
出口商品结构—机电产品占比(%),,,,,,,,,,,20,21,22,23,
出口商品结构—矿产品(亿元),,,,,,,,,,,2942202,3584100,4211400,4432600,
出口商品结构—矿产品占比(%),,,,,,,,,,,40,39,38,37,
出口商品结构—稀土产品(亿元),,,,,,,,,,,661995,827100,997200,1078200,
出口商品结构—稀土产品占比(%),,,,,,,,,,,9,9,9,9,
地区生产总值—交通运输、仓储和邮政业增加值(亿元),,,,,,,,,,,1291.6,1358.3,1538.3,1619.1,
地区生产总值—人均地区生产总值(元/人),38276,42441,46320,49585,52972,56560,61196,66491,71170,71640,89880,99128,104317,110011,
地区生产总值—住宿和餐饮业增加值(亿元),,,,,,,,,,,345.4,305.4,376.7,402.3,
地区生产总值—其他行业增加值(亿元),,,,,,,,,,,4376.3,4789.1,5331.7,5707.4,
地区生产总值—农林牧渔业增加值(亿元),,,,,,,,,,,2388.6,2711.5,2712.1,2950.3,
地区生产总值—地区生产总值(亿元),9458.12,10470.14,11392.42,12158.22,12948.99,13789.26,14898.05,16140.76,17212.53,17258.04,21584.8,23795.7,25020.5,26337,
地区生产总值—工业增加值(亿元),,,,,,,,,,,8360,9558.8,9658.4,9952.9,
地区生产总值—建筑业增加值(亿元),,,,,,,,,,,1318.5,1394.6,1505,1630.3,
地区生产总值—房地产业增加值(亿元),,,,,,,,,,,967.4,999.9,1046.9,988,
地区生产总值—批发和零售业增加值(亿元),,,,,,,,,,,1691.9,1796.8,1941.6,2127.4,
地区生产总值—第一产业增加值(亿元),,,,,,,,,,,2354.6,2655.1,2644.2,2876.9,
地区生产总值—第三产业增加值(亿元),,,,,,,,,,,9583.6,10223.9,11245.8,11910.8,
地区生产总值—第二产业增加值(亿元),,,,,,,,,,,9646.5,10916.8,11130.4,11549.3,
地区生产总值—金融业增加值(亿元),,,,,,,,,,,845,881.3,909.7,959.1,
地区生产总值指数—地区生产总值指数(上年=100),,,,,,,,,,,106.9,104.5,107.4,105.8,
地区生产总值指数—第一产业增加值指数(上年=100),,,,,,,,,,,105,104.3,105.4,105.6,
地区生产总值指数—第三产业增加值指数(上年=100),,,,,,,,,,,107.4,103.3,107.5,104.9,
地区生产总值指数—第二产业增加值指数(上年=100),,,,,,,,,,,106.8,106.1,107.7,107,
地方财政支出—地方财政一般公共服务支出(亿元),,,,,,,,,,,396.1,470.74,543.65,522.48,
地方财政支出—地方财政一般预算支出(亿元),,,,,,,,,,,5239.57,5887.7,6836.24,6916.71,
地方财政支出—地方财政交通运输支出(亿元),,,,,,,,,,,345.99,354.21,408.28,397.78,
地方财政支出—地方财政住房保障支出支出(亿元),,,,,,,,,,,173.57,161.19,203.83,205.75,
