指标,2016,2017,2018,2019,2020,2021,2022,2023,2024
煤炭产量(亿吨),8.38,8.79,9.26,10.14,10.01,10.38,11.16,11.83,12.20
煤炭吨均价(元/吨),420,570,630,550,580,680,850,780,720
采矿业人均工资(万元),9.8,10.5,11.3,12.5,13.2,14.26,15.84,19.63,21.50
采矿业工资增速(%),5.2,7.1,7.6,10.6,5.6,8.0,11.1,23.9,9.5
制造业就业(万人),30.1,30.8,31.5,32.2,32.8,33.5,37.5,38.7,39.6
制造业就业增速(%),1.8,2.3,2.3,2.2,1.9,2.1,11.9,3.2,2.3
电力运维工资(万元),9.8,10.2,10.8,11.2,11.5,12.10,12.91,13.87,14.69
电力运维工资增速(%),3.5,4.1,5.9,3.7,2.7,5.2,6.7,7.4,5.9
资源税(亿元),185.3,210.5,248.6,295.4,320.8,385.12,619.95,672.03,571.49
资源税增速(%),8.2,13.6,18.1,18.8,8.6,20.0,61.0,8.4,-15.0
