指标,2025年,2024年,2023年,2022年,2021年
地区生产总值(亿元),,26337,25020.5,23795.7,21584.8
第一产业增加值(亿元),,2876.9,2644.2,2655.1,2354.6
第二产业增加值(亿元),,11549.3,11130.4,10916.8,9646.5
第三产业增加值(亿元),,11910.8,11245.8,10223.9,9583.6
农林牧渔业增加值(亿元),,2950.3,2712.1,2711.5,2388.6
工业增加值(亿元),,9952.9,9658.4,9558.8,8360
建筑业增加值(亿元),,1630.3,1505,1394.6,1318.5
批发和零售业增加值(亿元),,2127.4,1941.6,1796.8,1691.9
交通运输、仓储和邮政业增加值(亿元),,1619.1,1538.3,1358.3,1291.6
住宿和餐饮业增加值(亿元),,402.3,376.7,305.4,345.4
金融业增加值(亿元),,959.1,909.7,881.3,845
房地产业增加值(亿元),,988,1046.9,999.9,967.4
其他行业增加值(亿元),,5707.4,5331.7,4789.1,4376.3
人均地区生产总值(元/人),,110011,104317,99128,89880
