指标,2024年,2023年,2022年,2021年
地方财政一般预算支出(亿元),6916.71,6836.24,5887.7,5239.57
地方财政一般公共服务支出(亿元),522.48,543.65,470.74,396.1
地方财政国防支出(亿元),6.76,8.62,5.92,4.25
地方财政公共安全支出(亿元),286.71,294.75,270.91,249.79
地方财政教育支出(亿元),783.65,774.62,692.38,641.29
地方财政科学技术支出(亿元),86.27,74.97,42.99,35.28
地方财政文化体育与传媒支出(亿元),129.7,130.2,108.38,107.33
地方财政社会保障和就业支出(亿元),1168.22,1131.9,985.15,874.77
地方财政医疗卫生支出(亿元),426.79,473.25,433.78,362.73
地方财政环境保护支出(亿元),196.66,178.06,141.56,143.87
地方财政城乡社区事务支出(亿元),660.12,710.64,585.49,496.84
地方财政农林水事务支出(亿元),1094.34,982.68,912.44,818.84
地方财政交通运输支出(亿元),397.78,408.28,354.21,345.99
地方财政资源勘探电力信息等事务支出(亿元),314.92,300.33,257.22,117.86
地方财政商业服务业等事务支出(亿元),22.7,27.37,17.22,17.74
地方财政金融监管支出(亿元),47.38,70.94,20.76,8.45
地方财政国土资源气象等事务支出决策数(亿元),87.4,106.43,81.63,64.89
地方财政住房保障支出支出(亿元),205.75,203.83,161.19,173.57
地方财政粮油物资储备管理等事务(亿元),18.53,21.38,18.67,17.59
地方财政国债还本付息支出(亿元),251.82,217.32,223.68,274.16
地方财政其他支出(亿元),126.8,132.82,64.64,55.87
