指标,2024年,2023年,2022年,2021年
地方财政一般预算收入(亿元),3150.57,3083.64,2824.39,2349.95
地方财政税收收入(亿元),2212.42,2331.22,2134.4,1671.05
地方财政国内增值税(亿元),665.92,691.18,601.26,541.81
地方财政企业所得税(亿元),317.13,345.57,388.88,234
地方财政个人所得税(亿元),70.82,72.88,67.83,59.33
地方财政资源税(亿元),571.49,672.03,619.95,385.12
地方财政城市维护建设税(亿元),83.74,91.13,89.49,79.52
地方财政房产税(亿元),78.26,65.96,55.61,46.75
地方财政印花税(亿元),31.9,30.63,26.02,27.55
地方财政城镇土地使用税(亿元),108.03,98.71,77.39,64.67
地方财政土地增值税(亿元),36.85,35.28,35.32,60.06
地方财政车船税(亿元),31.85,29.21,27.21,25.29
地方财政耕地占用税(亿元),125.83,110.63,77.42,49.53
地方财政契税(亿元),66.61,64.77,47.55,76.45
地方财政烟叶税(亿元),0.13,0.16,0.1,0.1
地方财政其他税收收入(亿元),0.73,1.75,0.4,2.54
地方财政非税收入(亿元),938.15,752.42,689.99,678.9
地方财政专项收入(亿元),127.44,143.01,147.65,150.96
地方财政行政事业性收费收入(亿元),123.28,126.94,116.65,117.57
地方财政罚没收入(亿元),100.53,89.85,166.36,190.96
地方财政国有资本经营收入(亿元),29.78,6.48,20.24,5.54
地方财政国有资源(资产)有偿使用收入(亿元),465.99,352.95,198.92,188.65
地方财政其他非税收入(亿元),91.12,33.19,40.18,25.21
