目的国,主要出口商品,主要进口商品,2021年出口(亿美元),2021年进口(亿美元),2022年出口(亿美元),2022年进口(亿美元),2023年出口(亿美元),2023年进口(亿美元),2024年出口(亿美元),2024年进口(亿美元)
俄罗斯,机电设备、钢材、建材,原木、化肥、矿产品,9.8,24.0,13.5,30.5,16.2,38.0,17.5,36.2
蒙古,机电产品、建材、服装,煤炭、铜矿石、铁矿石,18.0,49.0,22.5,55.0,28.0,72.0,30.5,75.5
德国,稀土氧化物、永磁材料,汽车零件、精密仪器,3.8,1.5,4.6,1.8,5.8,2.3,6.2,2.5
英国,机电设备、钢材,医药品、仪器设备,2.0,0.5,2.5,0.6,3.1,0.8,3.3,0.9
荷兰,化工原料、PVC,乳制品、花卉种苗,2.2,0.8,2.7,1.0,3.4,1.3,3.6,1.4
法国,机电设备、稀土材料,化妆品、葡萄酒,1.6,0.5,2.0,0.6,2.5,0.8,2.7,0.9
意大利,化工品、纺织原料,机械、皮革制品,1.1,0.6,1.3,0.7,1.7,0.9,1.8,1.0
日本,稀土、硅铁、合金,汽车配件、电子元器件,5.2,3.5,6.3,4.2,7.8,5.2,8.2,5.5
韩国,稀土、钢材、化工品,电子产品、化妆品,4.1,2.8,5.0,3.4,6.2,4.2,6.5,4.8
印度,PVC、烧碱、化工原料,医药中间体、香料,3.0,1.2,3.8,1.5,4.7,1.9,5.0,2.1
阿联酋,机电设备、钢材、建材,石油制品、铝材,2.5,0.8,3.1,1.0,3.9,1.3,4.1,1.4
沙特,化工品、机电产品,石油化工品、塑料,1.6,1.0,2.0,1.2,2.5,1.5,2.7,1.7
新加坡,机电设备、化工品,电子产品、精炼油,2.5,0.9,3.1,1.1,3.9,1.4,4.1,1.5
越南,化工原料、钢材、纺织品,农产品、木材,2.2,0.8,2.7,1.0,3.4,1.3,3.6,1.4
泰国,化工品、橡胶制品,天然橡胶、水果,1.1,0.5,1.3,0.6,1.7,0.8,1.8,0.9
印尼,化工原料、机电产品,棕榈油、矿产,1.6,0.8,2.0,1.0,2.5,1.3,2.7,1.4
澳大利亚,化工品、轻工产品,铁矿石、羊毛、煤炭,0.9,3.2,1.1,3.8,1.3,4.8,1.4,5.0
南非,机电设备、建材,锰矿、铬矿,0.8,0.4,1.0,0.5,1.3,0.6,1.4,0.7
巴西,化工品、机电配件,大豆、铁矿石,0.6,1.2,0.8,1.5,1.0,1.9,1.1,2.0
美国,稀土产品、机电配件,农产品、半导体设备,2.2,1.5,2.7,1.8,3.4,2.3,3.6,2.4
加拿大,机电设备、化工品,木浆、油菜籽,1.1,0.8,1.3,1.0,1.7,1.3,1.8,1.4
