指标,2024年,2023年,2022年,2021年
城镇单位就业人员(万人),284.3,268.7,265.5,267.7
农林牧渔业城镇单位就业人员(万人),5.1,4.4,7,7.6
采矿业城镇单位就业人员(万人),12.3,11.9,11,10.3
制造业城镇单位就业人员(万人),39.6,38.7,37.5,33.5
电力、热力、燃气及水生产和供应业城镇单位就业人员(万人),15.2,14.1,14.3,15.6
建筑业城镇单位就业人员(万人),7.5,7.1,8.3,9.1
交通运输、仓储和邮政业城镇单位就业人员(万人),19.4,19.8,19.6,19.7
信息传输、软件和信息技术服务业城镇单位就业人员(万人),4.2,4.4,4.5,4.6
批发和零售业城镇单位就业人员(万人),8.6,8.3,7.9,7.9
住宿和餐饮业城镇单位就业人员(万人),2.7,2.7,2.2,2.4
金融业城镇单位就业人员(万人),16.6,15.4,16.4,18.2
房地产业城镇单位就业人员(万人),7.3,6.8,5.4,5.3
租赁和商务服务业城镇单位就业人员(万人),6.9,7.1,4.8,5.2
科学研究和技术服务业城镇单位就业人员(万人),6.4,5.6,5.6,5.9
水利、环境和公共设施管理业城镇单位就业人员(万人),7.2,6.5,4.7,4.7
居民服务、修理和其他服务业城镇单位就业人员(万人),0.6,0.5,0.6,0.6
教育业城镇单位就业人员(万人),38.4,36.6,36.5,37
卫生和社会工作城镇单位就业人员(万人),22.8,20.5,20.7,20.3
文化、体育和娱乐业城镇单位就业人员(万人),3.7,3,2.9,3.1
公共管理、社会保障和社会组织城镇单位就业人员(万人),59.8,55.3,55.4,56.5
