指标,2024年,2023年,2022年,2021年
城镇单位就业人员工资总额(亿元),3232.9,2932.75,2700.17,2427.45
农、林、牧、渔业城镇单位就业人员工资总额(亿元),44.2,36.34,54.95,54.77
采矿业城镇单位就业人员工资总额(亿元),264.5,233.59,174.22,146.88
制造业城镇单位就业人员工资总额(亿元),455.9,431.69,383.79,299.89
电力、燃气及水的生产和供应业城镇单位就业人员工资总额(亿元),223.3,195.53,184.66,188.81
建筑业城镇单位就业人员工资总额(亿元),66.5,62.54,63.67,62.68
交通运输、仓储和邮政业城镇单位就业人员工资总额(亿元),238.2,228.47,216.06,204.48
信息传输、计算机服务和软件业城镇单位就业人员工资总额(亿元),63.1,59.08,55.07,52.26
批发和零售业城镇单位就业人员工资总额(亿元),88.1,79.51,69.07,63.44
住宿和餐饮业城镇单位就业人员工资总额(亿元),16.1,13.63,11.2,11.92
金融业城镇单位就业人员工资总额(亿元),222,202.93,192.3,189.4
房地产业城镇单位就业人员工资总额(亿元),41.6,38.42,32.24,31.96
租赁和商务服务业城镇单位就业人员工资总额(亿元),57.4,53.91,34.95,36.55
科学研究、技术服务和地质勘查业城镇单位就业人员工资总额(亿元),75,63.35,58.06,53.93
水利、环境和公共设施管理业城镇单位就业人员工资总额(亿元),41.4,35.91,26.8,24.81
居民服务和其他服务业城镇单位就业人员工资总额(亿元),3.4,2.71,3.23,3.44
教育城镇单位就业人员工资总额(亿元),439.6,400.92,386.13,337.51
卫生、社会保障和社会福利业城镇单位就业人员工资总额(亿元),259.9,224.6,207.84,182.8
文化、体育和娱乐业城镇单位就业人员工资总额(亿元),37.2,29.03,28.74,26.21
公共管理和社会组织城镇单位就业人员工资总额(亿元),595.4,540.58,517.2,455.73
