指标,2016,2017,2018,2019,2020,2021,2022,2023,2024
GDP总量(亿元),18128,16096,17290,17212,17360,21584.8,23795.7,25020.5,26337
资源型产值占GDP比(%),62,60,58,55,52,48,45,42,38
财政自给率(%),42.3,40.2,38.8,37.5,36.5,44.8,48.0,45.1,45.5
中央转移支付(亿元),2400,2650,2800,2900,3050,2889.6,3063.3,3752.6,3766.1
人口(万人),2520,2528,2534,2540,2405,2400,2401.2,2396,2392
人口自然增长率(‰),2.45,1.62,1.17,0.88,-0.53,-1.35,-2.70,-3.30,-3.70
青年外流比例(%),8.2,9.5,10.8,12.1,13.5,14.8,16.2,17.5,18.8
煤矿采掘工资天花板(万元),9.8,10.5,11.3,12.5,13.2,14.26,15.84,19.63,21.50
煤矿采掘工资增速趋势(%),5.2,7.1,7.6,10.6,5.6,8.0,11.1,23.9,9.5
高新岗位工资(万元),8.5,9.2,10.1,11.3,12.5,14.00,15.50,17.00,18.80
高新岗位工资增速(%),8.5,8.2,9.8,11.9,10.6,12.0,10.7,9.7,10.6
