指标,2016,2017,2018,2019,2020,2021,2022,2023,2024
新能源装机(万千瓦),2800,3200,3600,4200,5000,5700,6700,8600,10500
风电装机(万千瓦),1800,2100,2400,2800,3300,3700,4200,5400,6600
光伏装机(万千瓦),800,900,1000,1200,1500,1800,2300,3000,3700
储能装机(万千瓦),50,80,120,150,200,200,200,200,200
绿电输送(亿千瓦时),150,180,230,310,380,478,644,856,1148
数据中心算力(P),20,35,60,100,180,300,520,850,1400
科技财政支出(亿元),15.2,18.5,22.3,27.8,30.5,35.28,42.99,74.97,86.27
信息技术投资(亿元),30.5,42.0,58.6,78.3,95.2,117.86,257.22,300.33,314.92
高技术制造业增加值增速(%),5.8,8.2,10.5,12.3,9.8,15.2,18.6,22.4,19.8
新能源岗位平均工资(万元),8.5,9.2,10.1,11.3,12.5,13.20,14.10,15.30,16.50
储能工程师工资(万元),9.0,9.8,10.8,12.0,13.0,14.00,15.50,17.00,18.80
